benchmark,repl,final_tick,system.cpu.dcache.replacements,system.cpu.dcache.overall_hits::total,system.cpu.dcache.overall_misses::total,system.cpu.idleCycles
lfsr,LIPRP_1.8GHz,37287584,16,3483,369,33678
lfsr,LIPRP_2.2GHz,34766095,16,3482,370,39635
lfsr,LIPRP_2GHz,35714500,16,3483,370,36784
lfsr,NMRURP_1.8GHz,37289808,1,3493,359,33713
lfsr,NMRURP_2.2GHz,34609120,2,3492,360,39968
lfsr,NMRURP_2GHz,35636500,3,3492,361,36708
lfsr,RandomRP_1.8GHz,37289808,0,3493,359,33713
lfsr,RandomRP_2.2GHz,34609120,0,3492,360,39968
lfsr,RandomRP_2GHz,35636500,0,3493,360,36717
merge,LIPRP_,370718004,29,267163,1199,31189
merge,LIPRP_1.8GHz,428701576,31,317042,1296,34967
merge,LIPRP_2.2GHz,358520435,31,317084,1324,40898
merge,LIPRP_2GHz,389666500,31,317029,1314,37499
merge,NMRURP_1.8GHz,428701576,98,316997,1346,35054
merge,NMRURP_2.2GHz,358520435,96,317007,1416,41016
merge,NMRURP_2GHz,389763500,98,316967,1376,37780
merge,RandomRP_1.8GHz,428701576,0,317052,1286,35128
merge,RandomRP_2.2GHz,358520435,0,317094,1314,41105
merge,RandomRP_2GHz,389666500,0,317039,1304,37672
mm,LIPRP_1.8GHz,2208315240,47126,2590150,297853,34751
mm,LIPRP_2.2GHz,1832173980,47152,2589449,298548,41667
mm,LIPRP_2GHz,1997945000,47150,2589669,298329,37717
mm,NMRURP_1.8GHz,2208663852,26989,2723549,164453,34779
mm,NMRURP_2.2GHz,1832173980,26922,2723281,164716,41709
mm,NMRURP_2GHz,1998385000,26945,2722692,165305,37778
mm,RandomRP_1.8GHz,2208668856,28862,2718290,169712,34775
mm,RandomRP_2.2GHz,1832173980,29297,2716375,171622,41699
mm,RandomRP_2GHz,1998387000,28942,2717936,170059,37778
sieve,LIPRP_1.8GHz,13987663408,752155,1527920,815696,34594
sieve,LIPRP_2.2GHz,11608919140,752155,1527921,815696,40789
sieve,LIPRP_2GHz,12650638500,752155,1527920,815697,37694
sieve,NMRURP_1.8GHz,14409323800,777473,1502160,841583,35003
sieve,NMRURP_2.2GHz,11954132190,777429,1502154,841593,41506
sieve,NMRURP_2GHz,13028214500,777456,1502186,841549,38346
sieve,RandomRP_1.8GHz,14323249440,775495,1504221,839515,34602
sieve,RandomRP_2.2GHz,11882869180,775414,1504296,839437,40839
sieve,RandomRP_2GHz,12952157500,775473,1504207,839536,37763
spmv,LIPRP_1.8GHz,14906144828,1649839,1317184,3604959,33469
spmv,LIPRP_2.2GHz,13662024285,1650185,1314660,3608096,39002
spmv,LIPRP_2GHz,14146251500,1649953,1316031,3606506,35689
spmv,NMRURP_1.8GHz,14585474608,1430744,1601427,3322475,33461
spmv,NMRURP_2.2GHz,13444776345,1430493,1600711,3323655,38997
spmv,NMRURP_2GHz,13914558500,1430708,1599084,3325237,36144
spmv,RandomRP_1.8GHz,14726974384,1436599,1702853,3223699,33555
spmv,RandomRP_2.2GHz,13612201330,1436159,1700598,3225843,39163
spmv,RandomRP_2GHz,14056046500,1436092,1702995,3223659,35758
