
---------- Begin Simulation Statistics ----------
final_tick                                13662024285                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 110074                       # Simulator instruction rate (inst/s)
host_mem_usage                                 661008                       # Number of bytes of host memory used
host_op_rate                                   219431                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   102.57                       # Real time elapsed on the host
host_tick_rate                              133193852                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    11290577                       # Number of instructions simulated
sim_ops                                      22507585                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.013662                       # Number of seconds simulated
sim_ticks                                 13662024285                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   8125629                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6521640                       # number of cc regfile writes
system.cpu.committedInsts                    11290577                       # Number of Instructions Simulated
system.cpu.committedOps                      22507585                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.659424                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.659424                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   9617376                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  9567675                       # number of floating regfile writes
system.cpu.idleCycles                           39002                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                28973                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1625353                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.095932                       # Inst execution rate
system.cpu.iew.exec_refs                     15090061                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      26754                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8137764                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               4864636                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4455                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                27440                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            22846247                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              15063307                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             52587                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              32906918                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  65260                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4594070                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  25419                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4755069                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1465                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27508                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  23417634                       # num instructions consuming a value
system.cpu.iew.wb_count                      22630139                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.722841                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16927217                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.753674                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22631568                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 41559388                       # number of integer regfile reads
system.cpu.int_regfile_writes                11386327                       # number of integer regfile writes
system.cpu.ipc                               0.376021                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.376021                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               792      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              11489023     34.86%     34.86% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     34.86% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    22      0.00%     34.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             3203508      9.72%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  209      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   48      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 219      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     44.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1594385      4.84%     49.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     49.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     49.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     49.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     49.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     49.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        1569806      4.76%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     54.18% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              5300576     16.08%     70.26% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1727      0.01%     70.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         9774074     29.65%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite          25111      0.08%    100.00% # Type of FU issued
