
---------- Begin Simulation Statistics ----------
final_tick                                  511331800                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 246268                       # Simulator instruction rate (inst/s)
host_mem_usage                                 653560                       # Number of bytes of host memory used
host_op_rate                                   439729                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    32.91                       # Real time elapsed on the host
host_tick_rate                               15538200                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     8104173                       # Number of instructions simulated
sim_ops                                      14470629                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000511                       # Number of seconds simulated
sim_ticks                                   511331800                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   1486331                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  1779115                       # number of cc regfile writes
system.cpu.committedInsts                     8104173                       # Number of Instructions Simulated
system.cpu.committedOps                      14470629                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.630949                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.630949                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  13370859                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 11863811                       # number of floating regfile writes
system.cpu.idleCycles                          172137                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 1364                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   297479                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.834781                       # Inst execution rate
system.cpu.iew.exec_refs                      2771114                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     133164                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   30261                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2625530                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                85                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               133587                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            14487972                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2637950                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              2554                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              14495140                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1073                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 73265                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   1287                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 74452                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             10                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1036                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect            328                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   9877962                       # num instructions consuming a value
system.cpu.iew.wb_count                      14480127                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.682023                       # average fanout of values written-back
system.cpu.iew.wb_producers                   6736994                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.831845                       # insts written-back per cycle
system.cpu.iew.wb_sent                       14480918                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  8127350                       # number of integer regfile reads
system.cpu.int_regfile_writes                 2152364                       # number of integer regfile writes
system.cpu.ipc                               1.584914                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.584914                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              1390      0.01%      0.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               2546603     17.57%     17.58% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     17.58% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.00%     17.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             4720915     32.56%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  157      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   47      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              262366      1.81%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         2097152     14.47%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               1      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        2097152     14.47%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 2703      0.02%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1637      0.01%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         2635951     18.18%     99.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         131600      0.91%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               14497700                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                12269136                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            24280705                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses     11995444                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           12002459                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      258365                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.017821                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                     202      0.08%      0.08% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      0.08% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      0.08% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                 81982     31.73%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     31.81% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     31.81% # attempts to use FU when none available
