
---------- Begin Simulation Statistics ----------
final_tick                                62702107500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  66089                       # Simulator instruction rate (inst/s)
host_mem_usage                                 649196                       # Number of bytes of host memory used
host_op_rate                                   117647                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   151.25                       # Real time elapsed on the host
host_tick_rate                              414559699                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     9995921                       # Number of instructions simulated
sim_ops                                      17794161                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.062702                       # Number of seconds simulated
sim_ticks                                 62702107500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11360194                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  9086133                       # number of cc regfile writes
system.cpu.committedInsts                     9995921                       # Number of Instructions Simulated
system.cpu.committedOps                      17794161                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                              12.545539                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                        12.545539                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   4376524                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  2000717                       # number of floating regfile writes
system.cpu.idleCycles                           37974                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 1108                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2272241                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.142400                       # Inst execution rate
system.cpu.iew.exec_refs                      2336048                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    2207001                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2095705                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                129505                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 17                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                27                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              2207487                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            17862407                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                129047                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              1110                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              17857554                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  31235                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents              46446951                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   1236                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles              46493690                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          732                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect            376                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  18145190                       # num instructions consuming a value
system.cpu.iew.wb_count                      17849930                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.656117                       # average fanout of values written-back
system.cpu.iew.wb_producers                  11905373                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.142339                       # insts written-back per cycle
system.cpu.iew.wb_sent                       17857121                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 22744110                       # number of integer regfile reads
system.cpu.int_regfile_writes                11377813                       # number of integer regfile writes
system.cpu.ipc                               0.079710                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.079710                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               785      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              14019543     78.50%     78.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 1391      0.01%     78.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    28      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 145      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd               499996      2.80%     81.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     81.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               125172      0.70%     82.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     82.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               125046      0.70%     82.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              750207      4.20%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 12      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     86.92% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 4181      0.02%     86.94% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             2206566     12.36%     99.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          125064      0.70%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite            528      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               17858664                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 2282402                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             4283716                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      2001284                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2001626                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      335868                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.018807                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                   54718     16.29%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     16.29% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  93692     27.90%     44.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     44.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                 124911     37.19%     81.38% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                 62482     18.60%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     99.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     99.98% # attempts to use FU when none available
