
---------- Begin Simulation Statistics ----------
final_tick                                13914558500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 117385                       # Simulator instruction rate (inst/s)
host_mem_usage                                 661260                       # Number of bytes of host memory used
host_op_rate                                   234004                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    96.18                       # Real time elapsed on the host
host_tick_rate                              144665356                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    11290577                       # Number of instructions simulated
sim_ops                                      22507585                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.013915                       # Number of seconds simulated
sim_ticks                                 13914558500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   8126439                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6523968                       # number of cc regfile writes
system.cpu.committedInsts                    11290577                       # Number of Instructions Simulated
system.cpu.committedOps                      22507585                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.464809                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.464809                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   9617553                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  9568441                       # number of floating regfile writes
system.cpu.idleCycles                           36144                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                29140                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1625510                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.096494                       # Inst execution rate
system.cpu.iew.exec_refs                     12692766                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      26754                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 7507577                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               4868578                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4639                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                27438                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            22863441                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              12666012                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             55917                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              30514460                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  54034                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4021871                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  25411                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4161121                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             17                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1452                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27688                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  23351328                       # num instructions consuming a value
system.cpu.iew.wb_count                      22635273                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.727255                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16982363                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.813367                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22637201                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 36767780                       # number of integer regfile reads
system.cpu.int_regfile_writes                11391048                       # number of integer regfile writes
system.cpu.ipc                               0.405711                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.405711                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               782      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              11495918     37.60%     37.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     37.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    25      0.00%     37.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             3203848     10.48%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  210      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   48      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 219      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     48.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1594413      5.22%     53.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     53.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     53.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     53.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     53.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     53.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        1569839      5.14%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     58.44% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              4539685     14.85%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1728      0.01%     73.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         8138546     26.62%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite          25111      0.08%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               30570377                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                16047602                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            30640852                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      9592646                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            9856619                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     2931509                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.095894                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                   97879      3.34%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%      3.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%      3.34% # attempts to use FU when none available
