benchmark,repl,final_tick,system.cpu.dcache.replacements,system.cpu.dcache.overall_hits::total,system.cpu.dcache.overall_misses::total,system.cpu.idleCycles
lfsr,LIPRP_,35714500,16,3483,370,36784
lfsr,NMRURP_,35636500,3,3492,361,36708
lfsr,RandomRP_,34609120,0,3492,360,39968
merge,LIPRP_,389666500,31,317029,1314,37499
merge,NMRURP_,389763500,98,316967,1376,37780
merge,RandomRP_,358520435,0,317094,1314,41105
mm,LIPRP_,1997945000,47150,2589669,298329,37717
mm,NMRURP_,1998385000,26945,2722692,165305,37778
mm,RandomRP_,1832173980,29297,2716375,171622,41699
sieve,LIPRP_,12650638500,752155,1527920,815697,37694
sieve,NMRURP_,13028214500,777456,1502186,841549,38346
sieve,RandomRP_,11882869180,775414,1504296,839437,40839
spmv,LIPRP_,14146251500,1649953,1316031,3606506,35689
spmv,NMRURP_,13914558500,1430708,1599084,3325237,36144
spmv,RandomRP_,13612201330,1436159,1700598,3225843,39163
